ID;Bereich;Verbindliche Regel;Gilt für;Prüfung
01;Struktur;Jeder Codex-Entwurf liegt ausschließlich unter Codex/Layout Entwurf N und nutzt gemeinsame Inhalte und Medien aus Shared.;Alle Layouts;Keine doppelten Inhaltsquellen außerhalb layoutbezogener Styles oder Skripte
02;Claude-Trennung;Der Ordner Claude bleibt für Claude reserviert und wird von Codex nicht verändert.;Gesamtprojekt;Claude-Inhalte unverändert
03;Technik;Tailwind aus Shared/vendor/tailwind.min.css und ScrollMagic aus Shared/vendor/ScrollMagic.min.js lokal einbinden.;Alle Seiten;Keine CDN-Abhängigkeit für Tailwind oder ScrollMagic
04;Startvideo;Auf Noir Motion, Signal Atlas und Horizon Signature steuern Scrollimpulse dasselbe träge Video-Intro ab dem echten Frame-1-Poster. start3.mp4 bleibt muted, playsinline und niemals loop. Andere Layouts dürfen ohne Loop automatisch abspielen.;Startseiten;Layout 1, 3 und 5 mit identischem Vorwärts-, Rückwärts- und Nachlaufverhalten prüfen
05;Videotiming;Die vorbereitete Version mit rund zwei Sekunden gekürztem Beginn und circa 1,15-facher Wiedergabegeschwindigkeit verwenden.;Startseiten;Shared/assets/video/start3.mp4 wird referenziert
06;Logo-Intro;Original-Logo zeitverzögert wie auf der Referenzseite mittig über dem Video einblenden und mit dunklem Schwarz-Rot-Verlauf unterstützen. Noir Motion, Signal Atlas und Horizon Signature zeigen vor dem ersten Scrollimpuls unten mittig einen kleinen pulsierenden Scroll-Hinweis, der beim Scrollbeginn weich verschwindet.;Startseiten;Logo-Timing und kollisionsfreien Scroll-Hinweis auf Desktop, Tablet und Mobil prüfen
07;Video-Endzustand;Nach dem einmaligen Videoende verschwindet das Video mit einem weichen Parallax-Übergang nach oben. Der Hero schrumpft dauerhaft zu einem kompakten Schwarz-Rot-Banner mit Logo; Hochscrollen darf das Video nicht erneut zeigen oder zurückspulen.;Noir Motion, Signal Atlas und Horizon Signature;Endzustand bleibt bis zum Neuladen irreversibel
08;Navigation;Navigation auf der Startseite zunächst ausblenden und erst nach dem Herunterscrollen einblenden. Auf Unterseiten sofort sichtbar.;Alle Seiten;Desktop und Mobil testen
09;Anker;Ankerziele müssen die feste Navigationshöhe als Scroll-Offset berücksichtigen.;Alle Seiten;Überschriften werden nicht von der Navigation verdeckt
10;Scrollbewegung;ScrollMagic-Bewegungen der Inhaltssegmente an den realen Scrollfortschritt binden und beim Scrollstopp anhalten. Ausschließlich die Startvideos von Noir Motion, Signal Atlas und Horizon Signature dürfen Eingabestottern mit dem in Regel 23 definierten kurzen und begrenzten Nachlauf weich überbrücken.;Alle Layouts;Keine reine zeitbasierte AOS-Animation und kein ungebremster Nachlauf
